"MPSA","p_value","category","effect_size"
0.264503375977257,0,"Strong Hotspot",5.28834602434544
0.128295535477607,0.423939357860063,"Not Significant",1.07742893310337
0.0600121579984891,0.987080538482408,"Not Significant",-0.164903752793389
0.364762005602409,0,"Strong Hotspot",6.92661525790026
0.191433247421134,0.104524692759987,"Not Significant",2.77621823248062
0.313459336838535,0.0112871492181837,"Strong Hotspot",5.02307025192968
0.217767595379536,0.039917966747235,"Strong Hotspot",3.58870216597273
0.103593425305934,0.44673858407764,"Not Significant",0.861749826051312
0.211508027368827,0.0689110162794373,"Not Significant",3.2644122740117
0.083875892168934,0.643005995319162,"Not Significant",0.391774202384162
0.385686152570481,0,"Strong Hotspot",7.16728276362916
0.208510891739325,0.104524692759987,"Not Significant",2.70090037584454
0.109557494021769,0.415794172550929,"Not Significant",1.13285851099745
0.201180076954347,0.0984878683993728,"Not Significant",2.71689465693713
0.117397359587163,0.273638718083163,"Not Significant",1.54577588577549
0.0582231882198197,0.970694832763798,"Not Significant",-0.140975111865897
0.053920096899549,0.93018968335424,"Not Significant",-0.308766517009942
0.273432913995906,0,"Strong Hotspot",5.50579413128126
0.15239640630341,0.224453024453024,"Not Significant",1.80460859678114
0.134027782053459,0.196798025018884,"Not Significant",1.89941556328921
0.283805659377181,0.0112871492181837,"Strong Hotspot",5.15381660266739
0.226087326466637,0.0265400535670806,"Strong Hotspot",3.63161668064404
0.0869379412857674,0.631105926069955,"Not Significant",0.487453169841547
0.106425858610178,0.39039039039039,"Not Significant",1.08614804300084
0.22978892871366,0.0112871492181837,"Strong Hotspot",4.09602785323877
0.491296841336429,0,"Strong Hotspot",10.7082491002606
0.0958604723085182,0.490338944522211,"Not Significant",0.803287484891423
0.221855090578216,0.0112871492181837,"Strong Hotspot",4.21306221498791
0.187827605153218,0.039917966747235,"Strong Hotspot",3.35843176125901
0.116083477474666,0.292785247559117,"Not Significant",1.42708626691912
0.201511144131281,0.0647460647460647,"Not Significant",3.26202264219418
0.310538858824301,0,"Strong Hotspot",5.3596538273757
0.03125,0.572511675173272,"Not Significant",-0.770147675496925
0.10428358773956,0.423939357860063,"Not Significant",0.980451408667608
0.186511966427157,0.0734816449102163,"Not Significant",3.00100774419371
0.0377342704149933,0.691151081394984,"Not Significant",-0.603597824801752
0.0844300683236257,0.600914347183004,"Not Significant",0.527897652359062
0.104730339105339,0.475626647055219,"Not Significant",0.8284241746618
0.014831283853023,0.198380198380198,"Not Significant",-1.22199861341527
0.202380952380952,0.191295191295191,"Not Significant",1.99351849541449
0.069095957458775,0.842308106151754,"Not Significant",0.0754942469360853
0.131720800624365,0.296385938176983,"Not Significant",1.39852153944324
0.0852352352352352,0.63102091260936,"Not Significant",0.394774072221034
0.0972788683480082,0.459073181064882,"Not Significant",0.828040721813807
0.167626118100764,0.0984878683993728,"Not Significant",2.56085014480339
0.182616587133395,0.0601981291636464,"Not Significant",3.19145849968617
0.079953769846243,0.670790508818678,"Not Significant",0.310183599377481
0.423009089675756,0,"Strong Hotspot",8.08178761793217
0.267149007480492,0,"Strong Hotspot",5.52603697885516
0.209482379258499,0.0647460647460647,"Not Significant",3.06125287089269
0.0574889796622226,0.991046431046431,"Not Significant",-0.180263405144158
0.114479493294047,0.404695604695605,"Not Significant",1.10014975221701
0.0188329187396352,0.411751117633471,"Not Significant",-0.969841198624467
0.0251346906276484,0.459073181064882,"Not Significant",-0.900640309304782
0.101238228147523,0.42495126705653,"Not Significant",0.985355457385051
0.0629894894481041,0.892331822268128,"Not Significant",-0.0518516757595191
0.227184153277217,0.0265400535670806,"Strong Hotspot",3.62199303551154
0.0961792564215105,0.504575721967026,"Not Significant",0.730026650427148
0.059122434899575,0.991046431046431,"Not Significant",-0.220416585589221
0.126309842727753,0.275290675290675,"Not Significant",1.44121884836849
0.0361714598958507,0.611011011011011,"Not Significant",-0.744114225640001
0.213581331973077,0.0195419299896912,"Strong Hotspot",4.25090175191678
0.106899867429676,0.380613171310846,"Not Significant",1.0776541093209
0.233759163118085,0.0881265881265881,"Not Significant",3.03935580200811
0.295446547375019,0.0195419299896912,"Strong Hotspot",4.57768927376018
0.128541298610657,0.282465206323074,"Not Significant",1.46270398509161
0.342930137495355,0,"Strong Hotspot",6.23559163411944
0.110866382078813,0.478502598984527,"Not Significant",0.775837920347986
0.114390561876765,0.344555081397187,"Not Significant",1.2913809310482
0.019034419034419,0.510887357946182,"Not Significant",-0.843824944121199
0.0888834558242453,0.586001732069148,"Not Significant",0.556290100649448
0.199512385845616,0.0601981291636464,"Not Significant",3.43859830322937
0.258559448440906,0.0195419299896912,"Strong Hotspot",4.80184169915151
0.127729057357709,0.252611306959133,"Not Significant",1.62681299663771
0.0432891466445733,0.93018968335424,"Not Significant",-0.377289005334366
0.085485758477672,0.572822822822823,"Not Significant",0.573992372659473
0.154859748580406,0.123714265446549,"Not Significant",2.49896272611583
0.196659137963486,0.0984878683993728,"Not Significant",2.61773926404871
0.274726996877161,0,"Strong Hotspot",5.03348974313546
0.295055640317737,0,"Strong Hotspot",5.78488533716328
0.188323533265059,0.0689110162794373,"Not Significant",3.1913097428256
0.121314159835848,0.275290675290675,"Not Significant",1.43347794892311
0.0755317017578084,0.730621406389324,"Not Significant",0.238920993145442
0.170619708732273,0.14963534963535,"Not Significant",2.45028704676633
0.0986862392234897,0.459881368972278,"Not Significant",0.917920134326987
0.228996280268929,0.0265400535670806,"Strong Hotspot",3.95271281881055
0.431565996868254,0,"Strong Hotspot",9.39530668988891
0.0753270733159063,0.779873833565109,"Not Significant",0.200865418133133
0.119408369408369,0.373214335831158,"Not Significant",1.14867122423538
0.110897000334908,0.353699671235216,"Not Significant",1.23217027711476
0.175757287676719,0.118052478708216,"Not Significant",2.67916124494764
0.0885833324454263,0.643005995319162,"Not Significant",0.405722675197204
0.172135315824832,0.0960960960960961,"Not Significant",2.81503694121937
0.205255842062853,0.131908027430415,"Not Significant",2.50974702302545
0.0506171446214482,0.82966134451283,"Not Significant",-0.429947429496277
